DATE,CUUSA427SAF,CUUSA427SAH,CUUSA427SAA,CUUSA427SAT,CUUSA427SAR,CUUSA427SAE,CUUSA427SAG
1984-01-01,102.900,102.600,101.000,103.100,.,.,104.500
1984-07-01,103.400,102.800,102.500,106.200,.,.,106.100
1985-01-01,104.700,102.500,104.800,107.400,.,.,110.500
1985-07-01,107.700,103.700,106.700,109.000,.,.,117.900
1986-01-01,110.100,104.700,108.100,109.200,.,.,120.900
1986-07-01,111.500,100.400,109.800,106.400,.,.,125.400
1987-01-01,113.600,99.000,115.400,109.800,.,.,130.700
1987-07-01,112.700,96.100,117.800,112.800,.,.,133.700
1988-01-01,113.500,95.800,118.600,112.200,.,.,136.400
1988-07-01,114.200,94.900,119.600,113.800,.,.,139.900
1989-01-01,116.400,95.800,124.400,116.300,.,.,141.000
1989-07-01,118.000,96.800,125.600,117.100,.,.,146.300
1990-01-01,122.500,102.200,127.800,118.400,.,.,154.900
1990-07-01,125.000,105.700,127.600,123.100,.,.,156.500
1991-01-01,128.200,109.500,124.400,123.400,.,.,164.600
1991-07-01,127.200,113.000,128.900,120.000,.,.,169.200
1992-01-01,129.900,115.500,131.100,122.700,.,.,172.500
1992-07-01,130.700,117.800,129.400,123.800,.,.,177.900
1993-01-01,131.600,120.600,128.500,126.700,.,.,180.500
1993-07-01,130.800,121.600,133.800,130.800,.,.,175.200
1994-01-01,131.300,122.800,125.800,134.600,.,.,176.000
1994-07-01,132.500,123.100,131.900,139.300,.,.,167.300
1995-01-01,138.600,124.300,128.500,143.700,.,.,162.600
1995-07-01,138.400,125.500,131.600,143.800,.,.,164.000
1996-01-01,142.000,127.100,124.300,147.400,.,.,164.400
1996-07-01,144.700,128.700,133.100,147.000,.,.,164.700
1997-01-01,145.600,129.400,124.300,146.600,.,.,167.100
1997-07-01,146.100,129.500,129.600,147.500,.,.,175.500
1998-01-01,147.800,130.700,126.800,145.600,103.300,98.600,183.900
1998-07-01,146.900,131.400,124.400,144.200,106.100,97.300,192.600
1999-01-01,147.900,132.600,126.900,144.100,109.500,97.200,203.100
1999-07-01,149.000,132.800,124.700,143.400,104.700,96.800,205.300
2000-01-01,150.400,133.900,119.500,148.700,105.600,95.200,211.500
2000-07-01,153.100,134.400,129.400,152.300,105.500,94.400,214.000
2001-01-01,156.000,137.800,131.300,152.900,105.700,94.100,216.400
2001-07-01,156.800,140.200,130.900,153.000,107.000,94.500,217.900
2002-01-01,157.800,142.700,128.000,150.200,110.000,95.200,223.500
2002-07-01,158.100,144.400,125.500,152.800,110.300,97.200,224.500
2003-01-01,159.700,145.800,119.800,157.100,111.900,101.400,225.600
2003-07-01,163.800,147.700,126.500,159.400,112.500,103.500,226.300
2004-01-01,166.900,149.000,123.000,160.100,114.200,103.600,231.500
2004-07-01,170.900,149.300,124.700,165.300,115.700,103.000,238.600
2005-01-01,171.800,150.900,117.600,168.400,116.800,103.200,250.000
2005-07-01,174.400,155.300,125.100,175.100,118.100,105.200,251.500
2006-01-01,175.400,158.800,123.800,178.200,117.100,106.700,253.100
2006-07-01,177.000,159.700,129.900,178.900,116.700,106.600,255.000
2007-01-01,181.650,162.634,120.265,177.014,116.486,106.265,260.779
2007-07-01,186.798,164.300,126.447,184.474,117.001,108.377,267.689
2008-01-01,190.665,166.134,133.339,195.160,118.377,108.481,279.830
2008-07-01,193.901,168.995,128.366,204.186,119.584,110.114,288.784
2009-01-01,192.649,172.688,132.372,184.671,119.859,109.839,297.469
2009-07-01,190.970,174.737,138.869,195.661,118.737,111.679,302.718
2010-01-01,191.401,174.405,139.984,199.468,118.822,111.445,307.112
2010-07-01,191.345,176.076,139.421,197.760,120.401,111.651,303.420
2011-01-01,196.112,179.584,136.958,207.567,121.251,111.057,318.406
2011-07-01,200.582,181.207,148.724,208.251,120.377,110.866,321.718
2012-01-01,203.489,183.847,143.264,213.613,119.559,110.529,325.737
2012-07-01,202.691,186.597,154.834,210.616,120.131,109.596,326.983
2013-01-01,203.385,189.843,149.090,223.972,120.653,112.150,328.872
2013-07-01,204.418,191.969,163.198,229.949,119.782,113.846,327.378
2014-01-01,204.631,194.382,159.211,227.237,118.993,115.611,331.170
2014-07-01,208.626,197.919,157.839,224.134,120.625,116.547,331.638
2015-01-01,210.268,201.025,156.327,212.071,120.976,119.529,329.681
2015-07-01,210.120,200.734,162.170,208.790,118.896,119.268,329.651
2016-01-01,209.180,201.878,162.976,205.643,117.865,118.291,331.509
2016-07-01,208.183,203.505,163.859,208.146,119.503,118.767,336.779
2017-01-01,209.188,203.427,161.230,210.427,120.039,115.579,333.862
2017-07-01,207.988,203.228,166.554,213.390,119.860,113.073,336.426
2018-01-01,208.848,204.842,168.947,224.779,121.415,114.307,345.828
2018-07-01,210.425,209.007,165.318,228.850,128.297,115.446,350.841
2019-01-01,214.201,209.992,152.781,228.297,130.473,113.486,356.679
2019-07-01,216.278,208.625,153.708,226.047,128.157,114.788,362.548
2020-01-01,222.374,204.920,147.093,209.663,128.655,113.705,365.793
2020-07-01,227.170,205.699,140.791,213.607,126.039,114.721,370.859
2021-01-01,230.648,207.939,146.690,232.603,129.032,115.048,378.299
2021-07-01,240.626,211.728,152.384,262.297,132.667,115.197,384.858
2022-01-01,261.453,218.627,152.230,283.345,132.753,115.655,401.421
2022-07-01,263.699,228.463,153.763,293.975,138.600,115.344,412.568
2023-01-01,254.478,230.275,154.996,281.817,140.507,112.648,426.896
2023-07-01,258.882,232.021,158.665,295.639,139.843,112.868,487.991
