DATE,CUUSA318SAF,CUUSA318SAH,CUUSA318SAA,CUUSA318SAT,CUUSA318SAR,CUUSA318SAE,CUUSA318SAG
1984-01-01,103.800,99.500,101.000,101.200,.,.,105.400
1984-07-01,104.800,100.300,102.700,105.400,.,.,109.000
1985-01-01,104.900,100.200,104.100,105.400,.,.,111.100
1985-07-01,105.000,100.100,104.700,106.900,.,.,113.900
1986-01-01,106.400,98.500,105.800,101.200,.,.,116.700
1986-07-01,108.300,97.800,106.300,97.300,.,.,120.500
1987-01-01,111.300,96.700,110.300,101.000,.,.,123.200
1987-07-01,112.300,97.200,116.800,104.000,.,.,126.300
1988-01-01,114.100,97.400,119.900,103.300,.,.,129.200
1988-07-01,118.200,98.700,122.300,105.700,.,.,133.100
1989-01-01,121.400,99.800,123.400,108.200,.,.,134.600
1989-07-01,122.000,101.300,124.500,110.100,.,.,142.400
1990-01-01,127.400,103.200,132.700,112.700,.,.,149.100
1990-07-01,129.900,106.400,132.400,119.300,.,.,155.100
1991-01-01,131.700,108.200,135.000,118.500,.,.,156.300
1991-07-01,131.500,110.700,134.500,120.800,.,.,159.100
1992-01-01,131.700,112.100,135.800,122.000,.,.,166.500
1992-07-01,129.800,114.300,135.800,123.800,.,.,177.700
1993-01-01,130.400,115.300,139.200,126.300,.,.,180.400
1993-07-01,134.400,118.300,145.100,130.000,.,.,181.200
1994-01-01,136.700,119.500,149.900,131.200,.,.,185.800
1994-07-01,138.200,121.300,143.400,134.700,.,.,189.400
1995-01-01,140.000,119.900,137.600,136.900,.,.,190.800
1995-07-01,140.400,122.200,139.000,137.000,.,.,196.100
1996-01-01,141.000,123.200,138.600,139.700,.,.,201.300
1996-07-01,144.800,124.600,136.900,141.100,.,.,194.000
1997-01-01,146.700,125.300,140.700,142.400,.,.,195.100
1997-07-01,148.800,126.900,143.500,140.500,.,.,200.300
1998-01-01,150.300,128.100,140.000,137.100,100.200,99.700,204.200
1998-07-01,151.500,131.200,141.800,134.400,100.000,98.600,209.700
1999-01-01,151.800,131.300,136.100,134.300,100.700,100.500,216.000
1999-07-01,153.900,132.900,143.600,137.100,102.200,101.200,220.000
2000-01-01,155.900,134.900,145.300,142.400,105.000,100.400,224.900
2000-07-01,159.500,139.500,147.800,142.500,106.400,100.300,227.500
2001-01-01,162.200,144.000,145.900,144.800,108.700,100.200,233.100
2001-07-01,164.700,144.200,139.000,139.900,108.600,102.200,239.100
2002-01-01,164.500,143.300,132.400,140.300,101.500,102.400,245.300
2002-07-01,164.000,147.400,139.500,142.700,102.300,103.500,242.800
2003-01-01,166.200,149.200,146.400,144.600,103.100,102.500,247.100
2003-07-01,169.500,153.200,148.400,141.700,102.600,102.000,250.900
2004-01-01,172.000,157.100,152.000,147.200,106.300,102.000,254.200
2004-07-01,174.200,158.000,149.100,150.400,106.200,102.500,258.500
2005-01-01,175.600,162.300,160.800,155.800,105.400,102.200,261.800
2005-07-01,177.800,164.200,155.600,164.400,105.500,103.000,259.900
2006-01-01,178.500,168.700,156.400,168.900,106.700,103.200,262.000
2006-07-01,180.900,170.000,154.300,163.500,107.600,104.700,266.800
2007-01-01,184.371,170.088,157.652,164.595,108.872,105.288,285.550
2007-07-01,187.864,170.279,149.285,169.867,109.516,106.681,289.546
2008-01-01,193.336,174.170,147.891,178.433,108.516,108.161,299.843
2008-07-01,201.112,179.622,144.733,167.889,108.039,109.715,305.072
2009-01-01,200.890,184.357,143.427,151.019,109.096,111.007,315.703
2009-07-01,198.458,182.691,145.799,161.182,108.894,112.337,324.404
2010-01-01,199.169,183.092,150.099,166.382,106.265,112.591,331.921
2010-07-01,200.531,183.190,154.008,169.278,106.852,114.104,334.479
2011-01-01,204.753,182.733,153.145,186.221,106.888,114.479,339.919
2011-07-01,209.293,184.455,160.697,186.174,105.476,115.482,345.384
2012-01-01,211.802,186.609,163.393,191.687,106.085,116.604,350.984
2012-07-01,212.953,184.307,160.376,188.953,104.917,118.763,352.828
2013-01-01,213.983,188.383,164.877,190.059,104.227,119.511,357.596
2013-07-01,214.920,190.334,176.240,188.033,105.886,121.398,369.792
2014-01-01,217.327,196.124,181.928,192.164,105.301,121.230,377.987
2014-07-01,221.197,198.024,190.906,186.810,105.977,123.145,383.965
2015-01-01,222.988,199.625,177.873,175.740,103.011,124.378,387.978
2015-07-01,224.810,204.262,179.864,174.711,101.604,125.529,391.780
2016-01-01,224.643,208.124,178.322,171.567,103.142,125.230,393.887
2016-07-01,224.120,211.890,176.176,175.079,102.049,124.685,399.936
2017-01-01,225.405,212.732,185.455,179.679,103.258,121.005,403.142
2017-07-01,227.328,214.852,191.136,182.595,103.881,119.341,408.927
2018-01-01,227.949,217.641,191.230,186.757,103.599,121.123,412.913
2018-07-01,229.996,222.055,185.457,186.301,106.183,120.579,416.711
2019-01-01,232.625,224.313,187.686,184.054,105.315,120.393,415.832
2019-07-01,233.317,226.455,179.833,184.308,107.133,122.479,413.679
2020-01-01,238.191,227.246,177.159,174.981,107.376,120.594,416.196
2020-07-01,239.877,230.127,170.468,172.743,108.260,120.281,422.205
2021-01-01,245.387,232.503,166.832,188.570,111.417,121.542,424.150
2021-07-01,250.054,238.256,174.596,203.996,115.232,123.996,429.488
2022-01-01,264.554,246.137,179.275,230.834,124.382,123.438,440.148
2022-07-01,281.569,254.726,177.290,230.667,128.353,120.527,446.982
2023-01-01,289.825,259.317,175.647,228.958,130.354,121.141,469.140
2023-07-01,295.901,266.069,180.155,235.160,128.259,120.499,480.830
